"Usernames","Reviewer_Date","Reviewer_Content","Rating"
"tdsearles25","20 August 2023","ORIGIN: I am writing this as I watch the movie. So far the first 40 minutes are basically the combination of Spiderman(Iron Spider cant control suit), Ironman(the suit mimics Ironman in looks, function and design) and Venom(alien symbiote attempting to work with human host) origin stories. There is nothing new, fresh or interesting here. It has all been done before, only better.FOCUS: I like the family focus here. However, George Lopez is exhausting and cringe throughout. Kind of like Thor Love and Thunder dragging out the screaming goats joke; that is George Lopez in this movie. Very forced. Otherwise, the family focus works.DESIGN: The Blue Beetle suit and design is probably the highlight and coolest part of the movie. Though, its nothing too different than what we have seen Ironman, Spiderman or Venom do.VILLAIN/PLOT: Extremely weak, predictable, cliché and underwhelming. We all knew exactly where everything was going.XOLO MARIDUENA: I was really rooting for him. And he wasn't bad. But his acting skills don't always work. Maybe give him some more time to develop before handing him such a large role?TONE: Like the trend of recent superhero movies. The tone is Chaos. Think more chaos=better movie. Only when done correctly.VISUALS: Better than The Flash but that's not saying much.Overall, this is just more of the same. Look at Shazam 2, Thor Love and Thunder, Flash, Antman 3. The trend of new superhero movies are trying too hard, cringe, not doing anything fresh and overall very average movies.As a side note. DC is dying, sadly. What is this, 7 flops in a row? Call me crazy but I don't think fans are too thrilled about the announced reboot. OR they'd be showing up to the box office? $24m opening weekend? Yikes.Its a shame. Blue Beetle has a ton of potential! Wish he could have been a stronger part of the Justice League down the road.","
            3/10
            "
"pinkled5","19 August 2023","The dialog in the very first scene was so bad that I couldn't help but laugh out loud. I hoped it would get better, but it didn't. Every line Susan Sarandon's character says is some of the worst written dialog, and not even her acting chops could salvage it. But it's not just her character, the entire movie is full of terrible exposition presented in what seems like the laziest manner possible.The plot is paper thin, too. The only thing the main character wants is money to save his parent's home. Everything that happens to him is caused by happenstance, serendipity, or a ridiculously hard to believe contrivance. I was given no reason to root for any of these characters.I did like how they tried to develop the family dynamic, and I was hoping I could rally around that, but even that was clunky, at best. I had the urge to walk out from the very opening scene, but I forced myself to stay for nearly an hour. Eventually, the urge became too strong and I could no longer overcome it, and left the theater about halfway through.I'll give this a 3/10 because the actors were trying their best with what they were given, and it really showed in their performances. I especially enjoyed George Lopez's performance, but it wasn't enough to save this film. I also thought the CGI was pretty good (except for the shot looking up inside the Kord building, that shot looked rough).","
            3/10
            "
"MiroslavKyuranov","16 August 2023","""Blue Beetle"" is simply B or even C grade super hero movie with some charm along the way. I don't think it will be realistic to expect something else to be honest. The trailers showed that pretty well in my opinion.The tone of the movie is close to that of ""Shazam!"", given the fact that the family got bigger role in it again, that said the story is not all that good. Not that ""Shazam!"" got some epic story, but I think it was one idea better.The cast is fine, maybe the best part of the movie is the family dynamic, except when they lean too much to the melodrama side. Xolo Maridueña as Jaime/Blue Beetle and George Lopez are the standouts no doubt.The villain is everything you ca expect from B grade super hero movie, from the introduction, through his motivation, the fights and the conclusion is nothing particularly memorable.I must say the suit looks great when is practical and not CGI all over the place. There are some cool fight scenes with our protagonist, most of which are shown in the trailers, which is kinda of a shame.There are plenty of jokes in the movie, but for me, most of them doesn't land. I mean they are too childish. I guess the younger auditory will laugh out hard, but me and my cinema crowd were silent most of the time. Of course there were funny moments, but don't expect ""Deadpool"" level laughs if you are a bit older.The movie is not bad, but it's kinda cringe, predictable and given the fact that the audience know this genre already, they expect something more clever, which sadly to report ""Blue Beetle"" is not.There are already enough talks about the future of this character, is it part of the DCEU or DCU, will there be a sequel, or the character will transfer in the newly formed universe? If you ask me, there will not be a second movie, because this one will bomb hard, also, I'm not sure how you can do clean slate without the bagage of the previous universe, when you always lean to what was, not what it can be. In other words there is always a chance to see Blue Beetle again, but who will portray it and will the origin story be 1:1 identical is something I'm not sure about and I don't hold my breath for it.In conclusion the movie is ""okay"", got its moments, but there is nothing really memorable, also there are two credit scenes, which are fine I guess.","
            6/10
            "
"benjaminskylerhill","17 August 2023","For a movie being heralded as one of the least-white superhero films, Blue Beetle is white in one respect: it's as bland as plain white bread.Starting with a couple positive remarks, newcomer director Ángel Manuel Soto has a keen eye for action. There's a rough-and-tumble quality to his camerawork that makes the fast action intermittently fun. The performances are also quite fine, with George Lopez being the primary standout and the one bright spot of personality in the film.That's about all in terms of positives. This script has the intelligence of an actual beetle, the tact of a jackhammer, and the consistency of a pandering politician.Characters? Bland. Jaime, our protagonist, complains and is cowardly until the film's last 20 minutes when a character arc is rushed upon him with no skill or feeling.Plot? Perhaps the most predictable I've ever seen in the genre. Every single moment of the movie plays out exactly as you think it would. I predicted the end of literally every single scene. Not an ounce of creativity is present in this piece of writing.Dialogue? Inane. It's always contrived, corny, and shows blatant disregard for its audience's reasoning capabilities.In short, it's a sometimes flashy piece of total redundancy that's a complete bore from start to drawn-out finish.","
            4/10
            "
"deveshk-51057","14 September 2023","I'm a big fan of superhero movies and especially DC. I really loved the style of Man of steel. I love that DC takes the time to make action and movies more intense in their fight sequences and also does a great job at setting up characters and making you care about them.Well this movie literally just had me bored and I don't know what else to say. The only good part was the family dynamic in the movie which was nice to see but I really found myself caring very little about the characters and the villain is extremely average and uninspired.The fight scenes I just very bland and it seems like there's a lot that happens but they were just boring and very average even though they try not to be. This movie really made me contemplate why I even watch movies anymore and how predictable cinema has become instead of being something that should ignite the senses and the imagination and this was the complete opposite of that and has made me not go and watch random superhero movies anymore.I've never given any marble or DC movie of 4 out of 10 and this is the first because it just felt like a waste of my time and at no point was I excited and in fact I actually walked out in the middle of a fight scene with 25 minutes left to go in the movie.","
            4/10
            "
"hongsc","19 September 2023","Blue Beetle isn't one of the well known DC characters. My only experience with him was from the Young Justice cartoons, which was positive. Blue Beetle is another DC superhero movie failure. A Latino superhero movie that was predictable, had uninspiring characters, a weak, boring villain, and a movie that played too much on Latino stereotypes. This could have been an inspiring Latino superhero movie that many could have related to and enjoyed instead it became a jumbled, boring, amateurish mess. No, even Nana couldn't save this mess of movie. The sad part is that the 2 leads seem to have amazing chemistry together based on their rounds of promotions. But have none in the actual movie. And based on the quality of the movie, it should have been direct to Max not worthy of a theatrical release. How many poorly made DC/WB movies can be made? All I can say is a wise man once said, ""That the definition of insanity is doing the same thing over and over again expecting a different result."" Can James Gunn save the DC universe? Stay tuned!","
            3/10
            "
"anabel-paz1","4 September 2023","It was so bad I couldn't stand to finish watching it and left the theatre. It's boring, and the jokes are plain awful - playing them over and over like the one for Maria la del barrio, or scatological jokes. I can't even fathom how the Mexican actors in there are okay with the simplistic, absurd, and ridiculous portrait of a family of immigrants depicted in this film. Xolo Maridueña's range of acting is clearly short. Are there really no better Mexican-descent actors in Hollywood? Disappointing. Having Susan Sarandon is not enough to save this disgrace of a film - her character is hollow and exaggerated. It's no surprise why DC's films performances are so low (in both the ticket office and quality) compared to those of Marvel. The love interest is predictable and forced. What a way to waste money and time this film is. I truly advise you not to watch it. It's not fun, like, at all. I had no expectations and either way, I was utterly disappointed.","
            1/10
            "
"dextermorgan-91603","19 August 2023","Welcome to yet another hot garbage by WB studios. This cannot be a movie written by humans. The dialogue is just beyond gut wrenching puke. No way this was written by a sanely functioning human. Has WB lost its mind completely? From Immigration to name mispronounciation, poverty and other such blatant in-your face tropes about the latin american genpop. What were they trying to achieve here? Score ESG points for appeasing the ethnic minorties ?Susan Sarandon is completely wasted and reduced to a script reader with a monotone voice. The physical thrreat aka bad guy has to be the THE worst character ever produced in the history of movies. With a singular expression on his face and no character development he was punching bag for the protagonist. The supporting cast is headache inducing with non-stop conversing in their own colloquial terms much of which is left to be deciphered. Horrendous doesn't even begin to cover this movie. Steer clear and wait for streaming after all this movie was meant to be a streaming release initially, so that just tells about its quality. A bloated telenovela garbage with sprinkles of fortnite battles aimed at 10 year olds.","
            3/10
            "
"cgzhjq","19 September 2023","I would honestly rate the movie lower but the sort of beautiful landscape of the movie was rather enjoyable to look at. I am not entirely sure why I was reading a news article before this movie came out where they said ""this movie is a win for Hispanic people"" thought I'm living in Romania, most of my friends live in Spain and not a single one of them felt like this movie was a win of any sorts. Anyways, the plot of the movie is bland and overdone, maybe if it came out in 2015 it might have been rather enjoyable since they hype was there, although I highly doubt it since the dialogue literally made me gag throughout the entire movie.I can't say I'm disappointed in this movies flop, but I'm not surprised either. Main stream media and entertainment has been nose diving in recent years, so I guess this movie decided to join the kamikaze.","
            3/10
            "
"dean-202","19 September 2023","If James Gunn thinks this is a good film, then I think DC needs to go back to being an animation only studio.All of the worst Marvel tropes are ripped out and sewn together in this wonderfully cast wreck of a film.If DC plans on making this the standard formula for their various 'bring to live action' properties, then they should just hire a guy to come out during each scene change to tell the audience ""Ok, this person you need to hate for the movie to work. Now feel sad. Now you should feel a romance between the only two characters. Now you should be rooting for the reluctant heroes who suddenly used alien technology like experts and just killed all of the $25 an hour hired security guards."" etc.There's a reason no one goes to see DC films anymore... and it's because we are tired of seeing Marvel do it better.Do yourself a favor, and go watch Ahsoka instead.","
            4/10
            "
"shahnuh","4 September 2023","When I watch a film I don't expect it to be historically accurate, scientifically correct or politically acceptable however I do except it to be enjoyable! This film is 127min long which is 90min too long. Bad acting all round poor, poor story line and mediocre graphics. This a film that reminds me of the 90's children science fiction like power rangers. What especially got on my nerves is the constant shouting and screaming by the actors/characters and the ridiculous jokes that are as funny as watching paint dry.WB clearly hedging their bets and trying to squeeze everything in to one film just in case there's no sequels. I HOPE THERE IS NO SEQUEL.","
            8/10
            "
"PedroPires90","16 August 2023","One of the biggest surprises of the year. It's also one of the funniest superhero movies ever with a very distinctive identity.There are some typical exposition dumps for the genre, and the emotional moments don't always hit the mark with a familiar structure, but it's a film with a huge heart, incredibly good humor, and excellent characters. All the ""good side"" characters are very well crafted and distinct, each of them having moments to shine.In technical terms, it has some surprises and tricks up its sleeve, with good editing, well-choreographed and entertaining fast-paced action, and a strong score and soundtrack. What's even better is the way it incorporates Latin culture to show us the true sense of community and family, elevating the film's message and contributing to most of the arcs.All the performances are outstanding. Madridueña has what it takes to be the star of this film and all of them deserve praises, but the best is the crazy uncle portrayed by George Lopez. Good movie even if you are tired of superhero movies.","
            6/10
            "
"chand-suhas","18 August 2023","For what it's worth, this is not an origin story yet is designed to be one, atleast for the main lead. After graduation, Jaime Reyes returns back to his family who are near bankrupt and on the verge to lose their home. Desperate to save the house, he looks for a job and lands at Kord Tower, after an invitation from Jenny Kord. Meanwhile, Kord Industries CEO Victoria Kord, is a greedy woman who wants to control an alien species Scarab for it's technological power, to create a deadly weapon. Jenny's attempt to steal this Scarab leads to Jaime getting hold of it and eventually becoming the host. What follows is, Jaime realizing his purpose and acknowledging his connection with Scarab.Blue Beetle clearly has arrived a decade late, which is also what works in it's favour. There is no pressure of building in/adding on to the DC universe. All it aims for, is to be a simple silly fun entertainer, going over the top at every opportunity and yet succeed in entertaining. This is simply not the kind of film one should take seriously. The humor is hit and miss, thankfully the emotions work well. The Latino superhero does leave a lasting impression. There is not much about the Scarabs so the film directly focuses on Reyes becoming the new Blue Beetle while casually dropping the fact that there were others before.Susan Sarandon's Victoria isn't evil enough whereas her own weapon Carapax isn't menacing enough and are barely serviceable. What does work is the goofiness of the Reyes family and right dose of father-son dynamic, because what's a DC superhero without that? The action set pieces are generic and like I said, the film still delivers on providing basic harmless entertainment. The post credit scene does set it up for a standalone sequel without burdening itself from being part of DCU's planned future.","
            3/10
            "
"dgurney-66121","3 September 2023","*SPOILERS*
I generally don't walk out when I've paid to watch a movie the only other time was for miami vice but blue beetle was offensively bad I don't know what the director was thinking but the acting all round in this movie wasn't even fit for porn, the attempted jokes make your cringe so hard I think I actually had my eyes closed at one point, later when the blue beetles heavily overweight elderly grandmother started arming herself up for a fight with some space minigun I decided life was too short, don't see this movie not even for free.The one positive I took away from what I saw was the suit looked cool.","
            1/10
            "
"marboc-64901","17 September 2023","Why can't DC have decent hero. The acting was terrible, storyline shocking and double standards typical.In some instances, the actors sounded like they were in a pantomine, the dialog was so bass.Oh no! I can't kill you, even if it saves the lives of everyone I love.... It is fine for the uncle to stomp and kill dozens of bad guys, but the beetle just punches people.Typical problem for both good and bad guys (especially one who is trained)... never leave the enemy at your back. So frustrating and ruins so many movies because EVERYONE knows what happens down the track.Please do not waste your valuable time.","
            2/10
            "
"willz187","20 August 2023","Blue Beetle is featured well in one of the Batman cartoons i think in the Brave and the Bold. In that he is a fun teenager trying to figure out his powers and how to help Bats. If you want to see a good representation of Blue Beetle i recommend finding this animated series. This movie kind of felt like Power Rangers on the CW network, albeit with a much higher budget. There was nothing to care about here. I think DC was stretching to find more characters to bring to big screen. He is a supporting character at best. It is a good comparison to Shazam 2 with all the focus on secondary characters. Both are a waste of money and a little on time. If you have nothing else to watch its ok.","
            5/10
            "
"pranayjalvi","19 August 2023","Blue Beetle doesn't suffer from the ponderousness that weighs down so many other DC movies. It's lighter, more fun, and delivers the jokes, bright colors and nods to the ridiculousness that you want from a superhero movie, a slight improvement than recent DC movies.The movie has a big heart, ambitious references, and moments that make it an entertaining watch, but it can curdle thanks to the constraints of the superhero genre. The cultural specificity is also an asset but feels rushed in a format that, unlike the pacing of a series, creates a greater imperative to get to the next battle. Though it may have some novel elements, the franchise already feels tired, and isn't much more promising than recent DC efforts ""Black Adam"" and ""The Flash.My Rating: 5/10.","
            2/10
            "
"adambenjamingibbons","21 August 2023","Let's start by just saying granny with a neon automatic gun. That says it all, 600 characters not needed. 4DX was pretty bad too. Bumps and shakes that just didn't make sense. Like a thud in the back when the door got kicked. Really, 4DX is trying to put me in the shoes of the door. Although as the characters were all wooden too, it probably wouldn't make much difference. I literally didn't care about any of the characters. They could have lived, or died and I wouldn't be bothered. Personalityless shells. Really silly film but also not funny, just lame. Usual poor Hollywood dialogue and unmemorable performances, with no story other than good guy has thing bad guy wants, bad guy chases good guy.","
            2/10
            "
"vandreren","21 August 2023","You've seen one, you've seen them all. Blue Beetle is about as cookie-cutter as the bombastic superhero mcmovie genre comes. This generic mishmash of the well and truly worn-out superhero template differs only in that it desperately tries to pander to demographic stereotypes and messaging. The origin story needs no description, you've already seen it a hundred times over in various films, tv shows or comics. Sarandon's mailed in performance as the villain was dull, wooden, and witless. As always, George Lopez played George Lopez as well as he knows how - with the voice of a badger and the personality of a telemarketer calling you on your personal cell at 9 o'clock at night. Some will say it's superhero fatigue. For myself, it's dumpster fire exhaustion. We need to get back to making great films for everyone. Great writing, acting and directing will always have universal appeal. Blue Beetle proves yet again that the Hollywood sludge factory is entirely incapable of providing it.","
            6/10
            "
"ajacayen-90247","17 August 2023","DCEU's 2023 has been at a dipping point. With the disappointment of Shazam! Fury of the Gods, in which the first one I really loved, and the somewhat decent of a Flash movie, it seems like the way the franchise is ending doesn't seem like a bang. Fortunately, Blue Beetle has already come out oh boy did it not disappoint.Now let me preface this: it is by no means a classic nor is it groundbreaking in the superhero genre. At the end of the day, I just want to have a good time in the theaters and, for the most part, it succeeds in what I'm aiming for: a fun time.Xolo Maridueña as the titular young Iron Man-like superhero, alter-ego Jaime Reyes, was really good. He brings a lot of energy to his performance filled with charisma, awkwardness and relatability because of his love for his family.Speaking of family, everyone was really good playing in their respective roles but George Lopez was easily the standout because of how funny his lines and reactions are towards Jaime.And the theme of the family is really at the center of Blue Beetle, it's really hard not to ignore it which is similar to Shazam. But as the film moves on, it does feel like everything that was done to make this possible was filled with heart by the filmmakers and knew just to be simply entertaining, hitting at all the right beats to make you laugh and cry.The pacing was surprisingly good as to how they were able to fill in the runtime which doesn't make it feel like two hours at all as you are watching it. It's like it took two to three days in the story, if you look at the second to the third act. That was really impressive.Visuals are great and the action sequences are really good to look at. Props to the director of photography, who by the way did Hereditary and Midsommar - yeah, let that sink in.Of course, the film is not without its faults. It is cheesy at times, does feel generic and doesn't seem like it wants to outshine the rest of the films not just in DC but everything superhero in general. But my personal issue would have to be how they handled Susan Sarandoncs character and the nemesis of Jaime. While I get where they are going, it felt like it needed to be more compelling and not just some cartoony villains.But by the end, I walked out of Blue Beetle thinking how good it was to see an enjoyable film with the message of family that hit me emotionally. Would I recommend the movie? Yes.","
            1/10
            "
"mindlessmoviemaster","21 August 2023","Yup that's how I knew the cringe movie was going to be as bad as it looked. This movie is just filled with cringe cliche stuff that they believe the Latino family is into. Blue Beatle needs his family to fight all his battles for him that's not surprising when you one these New Gen kids can't do anything without mommy and daddy holding thier hands and that's what this is all about. I was hoping this movie would do good too! Nope they had to ruin it with bad stereotypes. I guess that's fine stereotype it up man but BatMan is the Fascist.. I was wondering if they would take that out of the film cause they removed it from the trailers but nope they kept it in. They want to try a kill one of DCs best characters ever for a side character.. Go watch it if you love cringe cliches then this is the film for you.","
            5/10
            "
"akira-hideyo","19 August 2023","There seems to be alot of these such movies lately where something incredible is chosen for someone to be great and the so called chosen recipient of the gift or blessing is so non deserving with highly irritating low self esteem that one starts to cheer for the bad guys instead to end the audiences' suffering. What happened to real super heroes like John Wick or Jack Ryan where they wear their battle amour with responsible conviction and honourable mission to do good without a second thought. This show comes off the lot to fill the ethnic diversity quota in Hollywood of recent push. Yes, by all means, but for goodness sake, arm such protagonist with more oomph and self pride and courage. All needs a dash of Bruce Lee to make this porridge perfect for all future Goldilocks.","
            6/10
            "
"ethanbresnett","31 August 2023","Blue Beetle has the unique angle of bringing a Latin superhero character to the screen in a leading role for the first time, but outside of that nothing about this film is unique or original.The story is a formulaic superhero origin story. It's fine and it does the job but isn't particularly inspiring or overly engaging. There's an attempt to inject some emotion into the piece but it feels a little half-hearted. Susan Sarandon feels under-developed as a villain which makes the stakes feel quite low.For the most part the action is pretty bland. The final set piece is a CG blur that is a bit of a snooze and considering the skill set of Blue Beetle the action could have been a lot better.Despite all this, the performance from Xolo Mariduena is strong and he creates a likeable and engaging character, as do all his family members. There's some good humour throughout, and the film does look quite good in parts, with some decent enough direction.Overall, this film is a perfectly average superhero film. It's formulaic and uninspired, but it is a fun enough watch.","
            8/10
            "
"Ltufano23","28 August 2023","Blue Beetle comes at a time where Multiverses are breaking and worlds are ending, but it stays in its own corner and maintains a strong, grounded story with family at the center. The entire main cast are the heart of this film and the hispanic family dynamic feels so real and distinct. I found myself deeply connected to their story and invested in their emotional moments as if I were joining them on the journey as well. While it can be said that the rest of the story feels very repetitive from previous superhero films, that would be the biggest fault of the film. The action, emotion, and unique style leave a very memorable mark on the current state of superhero film. Had this been released 15 years ago, it could've been as big of a hit as any MCU standalone film, as it shares the same quality of the likes of Black Panther, Doctor Strange, and Captain America. With the way superhero films have been, this is a breath of fresh air, even with the familiar taste.","
            7/10
            "
